Received Total CAD 35764.58
Received Total EUR 1309.79 EUR = 1791.923699 in CAD(2013)
Received Total USD 4220.88 USD = 4343.28552 in CAD(2013)
Year End Balance Total CAD 9012.96
Year End Balance Total EUR 1016.57 EUR = 1390.769417 in CAD(2013)
Year End Balance Total USD 2940.88 USD = 3026.16552 in CAD(2013)
------------------------------------------------------------------------------------------
Date, Time, Time Zone, Type, Currency, Net
8/7/2013,07:49:51,GMT-04:00,Recurring Payment Received,USD,9.31
8/6/2013,07:44:07,GMT-04:00,Recurring Payment Received,USD,9.31
8/5/2013,22:46:27,GMT-04:00,Donation Received,USD,0.00
8/5/2013,07:17:22,GMT-04:00,Donation Received,EUR,38.09
8/4/2013,23:27:14,GMT-04:00,Donation Received,USD,0.00
8/1/2013,07:42:58,GMT-04:00,Donation Received,USD,0.66
7/26/2013,00:19:42,GMT-04:00,Payment Received,CAD,56.17
7/25/2013,17:07:34,GMT-04:00,Donation Received,USD,485.20
7/25/2013,13:42:22,GMT-04:00,Donation Received,CAD,14.26
7/21/2013,05:34:23,GMT-04:00,Donation Received,EUR,18.87
7/16/2013,05:13:40,GMT-04:00,Donation Received,USD,95.80
7/15/2013,07:54:52,GMT-04:00,Donation Received,CAD,18.92
7/14/2013,10:19:12,GMT-04:00,Donation Received,CAD,19.12
7/11/2013,19:44:36,GMT-04:00,Recurring Payment Received,USD,9.41
7/11/2013,14:48:57,GMT-04:00,Recurring Payment Received,USD,9.41
7/11/2013,05:53:44,GMT-04:00,Donation Received,EUR,9.26
7/7/2013,07:40:39,GMT-04:00,Recurring Payment Received,USD,9.31
7/7/2013,07:38:03,GMT-04:00,Recurring Payment Received,CAD,9.31
7/6/2013,07:44:29,GMT-04:00,Recurring Payment Received,USD,9.31
7/5/2013,06:01:44,GMT-04:00,Donation Received,EUR,14.06
7/4/2013,11:21:16,GMT-04:00,Donation Received,CAD,9.31
7/4/2013,03:08:44,GMT-04:00,Donation Received,CAD,9.31
7/3/2013,05:37:52,GMT-04:00,Donation Received,EUR,38.09
7/2/2013,13:24:07,GMT-04:00,Donation Received,EUR,9.93
6/30/2013,18:45:32,GMT-04:00,Donation Received,CAD,4.50
6/16/2013,12:56:38,GMT-04:00,Donation Received,CAD,4.50
6/14/2013,14:12:17,GMT-04:00,Express Checkout Payment Sent,USD,-1280.00
6/14/2013,11:13:27,GMT-04:00,Donation Received,CAD,249.56
6/14/2013,10:57:57,GMT-04:00,Donation Received,CAD,970.70
6/14/2013,04:16:46,GMT-04:00,Donation Received,CAD,169.11
6/14/2013,04:06:48,GMT-04:00,Donation Received,CAD,140.87
6/12/2013,14:36:38,GMT-04:00,Donation Received,USD,14.26
6/11/2013,13:16:23,GMT-04:00,Donation Received,EUR,143.80
6/11/2013,06:45:26,GMT-04:00,Donation Received,USD,9.31
6/10/2013,13:44:50,GMT-04:00,Donation Received,EUR,2.73
6/7/2013,23:47:46,GMT-04:00,Donation Received,USD,28.83
6/7/2013,10:16:11,GMT-04:00,Recurring Payment Received,USD,9.31
6/7/2013,09:26:18,GMT-04:00,Payment Sent,AUD,-4080.00
6/7/2013,09:26:18,GMT-04:00,Currency Conversion,AUD,4080.00
6/7/2013,09:26:18,GMT-04:00,Currency Conversion,CAD,-4089.94
6/7/2013,07:22:58,GMT-04:00,Recurring Payment Received,CAD,9.31
6/6/2013,21:03:42,GMT-04:00,Donation Received,USD,38.54
6/6/2013,06:55:24,GMT-04:00,Recurring Payment Received,USD,9.31
6/5/2013,14:38:52,GMT-04:00,Donation Received,EUR,38.09
6/3/2013,19:35:16,GMT-04:00,Donation Received,USD,96.80
6/3/2013,14:17:21,GMT-04:00,Payment Received,CAD,4000.00
6/3/2013,03:21:00,GMT-04:00,Donation Received,USD,4.50
6/2/2013,16:06:59,GMT-04:00,Donation Received,CAD,48.25
6/2/2013,16:04:43,GMT-04:00,Donation Received,EUR,23.67
6/2/2013,12:45:04,GMT-04:00,Donation Received,EUR,95.75
6/2/2013,11:59:48,GMT-04:00,Donation Received,CAD,47.75
5/28/2013,08:17:43,GMT-04:00,Donation Received,CAD,95.80
5/25/2013,11:40:48,GMT-04:00,Donation Received,CAD,48.25
5/25/2013,10:55:53,GMT-04:00,Donation Received,USD,4.50
5/24/2013,15:01:37,GMT-04:00,Donation Received,USD,9.41
5/24/2013,09:59:42,GMT-04:00,Donation Received,EUR,0.61
5/19/2013,12:12:56,GMT-04:00,Donation Received,USD,48.25
5/19/2013,10:36:35,GMT-04:00,Donation Received,CAD,9.31
5/18/2013,11:38:31,GMT-04:00,Donation Received,USD,48.25
5/10/2013,00:49:57,GMT-04:00,Donation Received,USD,23.97
5/9/2013,11:14:53,GMT-04:00,Donation Received,USD,19.12
5/8/2013,19:34:03,GMT-04:00,Donation Received,EUR,9.26
5/8/2013,05:33:50,GMT-04:00,Donation Received,USD,65.49
5/3/2013,22:48:10,GMT-04:00,Donation Received,USD,96.80
5/2/2013,07:55:04,GMT-04:00,Donation Received,EUR,47.70
5/1/2013,07:14:05,GMT-04:00,Donation Received,USD,9.31
5/1/2013,02:49:43,GMT-04:00,Donation Received,USD,0.66
4/29/2013,01:56:42,GMT-04:00,Donation Received,USD,9.31
4/24/2013,16:08:47,GMT-04:00,Donation Received,USD,18.92
4/22/2013,20:38:13,GMT-04:00,Payment Sent,AUD,-150.00
4/22/2013,20:38:13,GMT-04:00,Currency Conversion,AUD,150.00
4/22/2013,20:38:13,GMT-04:00,Currency Conversion,CAD,-162.27
4/21/2013,18:01:28,GMT-04:00,Payment Sent,AUD,-4000.00
4/21/2013,18:01:28,GMT-04:00,Currency Conversion,AUD,4000.00
4/21/2013,18:01:28,GMT-04:00,Currency Conversion,CAD,-4345.66
